Cluster;Scientific Name;SSI;HSI;Voltinism;Overwintering;STI;Mobility;TAO;;
4;Leptotes pirithous;1.205;3;Multivoltine;pupa;12.822;D4;0.495;;
3;Libythea celtis;1.171;1;Univoltine;adult;12.186;D3;0.183;;
2;Limenitis camilla;1.057;1;Multivoltine;larva;8.851;D2;-0.134;;
2;Limenitis reducta;0.861;1;Multivoltine;larva;11.066;D2;0.082;;
1;Lycaena alciphron;1.628;1;Univoltine;larva;9.528;D1;0.653;;
2;Lycaena phlaeas;0.717;1;Multivoltine;larva;9.292;D3;0.517;;
1;Lycaena tityrus;3.373;1;Multivoltine;larva;9.351;D1;0.849;;
1;Lycaena virgaureae;2.082;1;Univoltine;egg;7.274;D2;0.674;;
4;Lycaenidae;1.536;1;Univoltine;larva;10.91;D2;0.57;;
2;Lysandra bellargus;1.108;2;Multivoltine;larva;10.194;D1;0.625;;
1;Lysandra coridon;1.435;1;Univoltine;egg;9.307;D1;0.472;;
2;Lysandra hispana;1.095;2;Multivoltine;egg;12.019;D1;0.431;;
2;Maniola jurtina;0.786;2;Univoltine;larva;9.848;D2;0.245;;
2;Melanargia lachesis;0.99;2;Univoltine;larva;13.088;D2;0.456;;
1;Melanargia occitanica;1.708;2;Univoltine;larva;13.79;D2;0.713;;
1;Melanargia russiae;1.771;2;Univoltine;larva;12.202;D2;0.856;;
1;Melitaea cinxia;1.181;2;Univoltine;larva;9.596;D1;0.535;;
2;Melitaea deione;1.153;2;Multivoltine;larva;11.582;D1;0.482;;
1;Melitaea diamina;2.382;1;Univoltine;larva;8.034;D1;0.512;;
2;Melitaea didyma;0.931;2;Multivoltine;larva;10.418;D2;0.708;;
1;Melitaea nevadensis;1.3;2;Univoltine;larva;8.042;D1;0.447;;
1;Melitaea parthenoides;1.541;1;Univoltine;larva;10.605;D1;0.599;;
2;Melitaea phoebe;1.127;2;Multivoltine;larva;10.91;D2;0.588;;
1;Melitaea trivia;1.967;1;Multivoltine;larva;10.97;D1;0.603;;
