"Mediator";"Parameter";"Estimate";"SE";"L95";"U95";"Estimate_bt";"SE_approx";"CI95_low";"CI95_high"
"C3beta";"C3beta_Intercept";-3.02296162296944;0.0860022552871588;-3.1918412075;-2.856021;0.0463992572796837;0.00380873268682294;0.0394739096181174;0.0543709172765206
"C3beta";"C3beta_TypePATRIMONIAL";1.01492579301583;0.0957330990084193;0.826465377;1.2024732025;0.733983027715325;0.0186871729424942;0.695607034085791;0.768964460253805
"C3beta";"C3beta_TypeUSOS";1.40976280459722;0.0997209684278784;1.2143223575;1.6075715875;0.803728528996851;0.015732266469171;0.771062846731756;0.833073960254069
"C3beta";"C3beta_z_Area";0.0379579272288048;0.0398952252879191;-0.04208753055;0.11572546875;0.509488342597537;0.0099688938405324;0.489479670257796;0.528899122038885
"Herbbeta";"Herbbeta_Intercept";-1.67309189837778;0.0887805712727605;-1.848493725;-1.49921322;0.1580123837626;0.0118148890140116;0.136049847965079;0.182542898573267
"Herbbeta";"Herbbeta_TypePATRIMONIAL";-0.0531390270253336;0.0984990962575694;-0.24441889275;0.14144934625;0.486718368437372;0.0245875647196452;0.439197673118091;0.535303493732406
"Herbbeta";"Herbbeta_TypeUSOS";0.254706751614334;0.105130152519425;0.049358753375;0.46341428125;0.563334651806865;0.0258381829712681;0.512337183702571;0.613823825355627
"Herbbeta";"Herbbeta_z_Area";0.0351465389857368;0.0432384386500605;-0.04971429495;0.11926366975;0.508785730362554;0.0108045904180882;0.487573985409858;0.529780626273353
"Pbeta";"Pbeta_Intercept";-4.31400933844722;0.0819883788381049;-4.4735287125;-4.15286749;0.0132031423987221;0.00106931525143435;0.0112783407984071;0.0154760053144983
"Pbeta";"Pbeta_TypePATRIMONIAL";0.258261248835419;0.08223511103199;0.098134537425;0.41915877775;0.564208820319519;0.0202089167423853;0.524513964265421;0.603281935255708
"Pbeta";"Pbeta_TypeUSOS";0.162191110053159;0.0901743671037417;-0.013656055575;0.3401720645;0.540459123380955;0.0223811156001569;0.496586039161271;0.584232318854067
"Pbeta";"Pbeta_z_Area";0.115560635736517;0.0390785276755599;0.0376792024;0.19071805775;0.528858051251782;0.00973586124118941;0.50941868629979;0.547535516103728
"Vivbeta";"Vivbeta_Intercept";-5.92302896743611;0.0876364332155161;-6.0962443725;-5.7522065725;0.00266993148074691;0.000233652590468432;0.00224624993447318;0.00316571194387156
"Vivbeta";"Vivbeta_TypePATRIMONIAL";0.253115875397746;0.0893112320710831;0.079447187275;0.42833748975;0.562943274848021;0.0219600682126685;0.519851356342512;0.605476606537312
"Vivbeta";"Vivbeta_TypeUSOS";0.166976277364194;0.0907807523593261;-0.009020145765;0.348622144;0.541647349861425;0.0225225849059553;0.497744978848342;0.586283412597884
