"Mediator";"Parameter";"Estimate";"SE";"L95";"U95";"Estimate_bt";"SE_approx";"CI95_low";"CI95_high"
"Vivbeta";"Vivbeta_z_Area";0.0644611025560393;0.0326627000870897;2.31869791500001e-05;0.127526131;0.516109697728658;0.00815647544572778;0.500005796744787;0.531838395683075
"abundance";"abundance_Intercept";2.40455705342547;0.229607670061153;1.97544525;2.8250891275;11.0735242160846;2.56496560397848;7.20982911567475;16.8624478269345
"abundance";"abundance_TypePATRIMONIAL";0.100577478848871;0.173387076645298;-0.2401907585;0.44037212175;1.10580931521791;0.192695170501198;0.786477819427032;1.55328512215732
"abundance";"abundance_TypeUSOS";0.0336385970746741;0.207662860128699;-0.374117604;0.438605546;1.03421077238123;0.216314097015464;0.687896007749656;1.55054354863931
"abundance";"abundance_zC3_logit";-0.0635423034756272;0.0815690459555881;-0.22308864425;0.0967494571000002;0.938434419423359;0.0766321131120375;0.800043926857304;1.10158434490757
"abundance";"abundance_zHerb_logit";-0.213741547456572;0.0760397495969884;-0.36211573525;-0.06428952725;0.807557073233061;0.061465630526577;0.696201788090907;0.937733460833552
"abundance";"abundance_zP_logit";0.106393577192195;0.0838709570739855;-0.057957718275;0.27064039175;1.11225955036248;0.0933956793303571;0.943689847427887;1.31080360982689
"abundance";"abundance_zViv_logit";0.0236632145145547;0.0652852327066312;-0.1051190265;0.151916561;1.02394540986194;0.0668960110111085;0.900217366486812;1.16406310411851
"abundance";"abundance_z_Area";-0.0502079879628767;0.0649787982012955;-0.17780407525;0.0765674719;0.951031600803671;0.0618403865804446;0.837106417288552;1.07957502885825
"abundance";"abundance_z_Conn";-0.0332195879511979;0.0840381451678926;-0.19538346925;0.13220135475;0.967326123104127;0.0813880135345914;0.822519186757456;1.14133810998153
"hu_abundance";"hu_abundance_Intercept";-0.40350664566157;0.169621858487672;-0.7370953025;-0.0715015520249999;0.400470122908723;0.0406393209592479;0.323639647407266;0.482132223720603
"hu_abundance";"hu_abundance_TypePATRIMONIAL";0.140362651528491;0.204761585955572;-0.26011583975;0.53902164475;0.535033164095153;0.0507644469072964;0.435335232433838;0.631584798034533
"hu_abundance";"hu_abundance_TypeUSOS";0.249194162722669;0.230998092377565;-0.1995347455;0.70026981325;0.561978146939086;0.0566221899535611;0.450281163554785;0.668247590524199
"hu_abundance";"hu_abundance_zC3_logit";0.217577606760914;0.0901613410633253;0.0426879732;0.39476481775;0.554180826715033;0.0222611137946531;0.510670372997001;0.597429204016513
"hu_abundance";"hu_abundance_zHerb_logit";0.0314194742341947;0.0769316752376026;-0.11874018075;0.1821086995;0.50785422243937;0.0192187021378622;0.47034978373183;0.545401770408437
"hu_abundance";"hu_abundance_zP_logit";-0.0266336728544585;0.0911447225715253;-0.203970394;0.15150605525;0.493341975355618;0.0227663901043176;0.449183460069538;0.537804228007656
"hu_abundance";"hu_abundance_zViv_logit";-0.0348557801623648;0.0677397391684277;-0.16669634825;0.097663635725;0.491286937085009;0.0169233272506299;0.458422147689355;0.524396520467911
"hu_abundance";"hu_abundance_z_Area";-0.182541814985305;0.0843624285449319;-0.35250829875;-0.020800191325;0.454490845623476;0.020903797214465;0.412774297611281;0.494800139643146
"hu_abundance";"hu_abundance_z_Conn";0.119199092909474;0.0787298574814649;-0.03364000625;0.274175738;0.529764539304565;0.0196026986043834;0.491590791445963;0.568117753943345
